# ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#           t                bm_masse_c       bm_masse_actuelle   latency_alumina_mass  dissolving_alumina_mass  bath_thermal_energy_shift    mean_temperature   variance_temperature  variance_concentration_pct  variance_concentration  average_concentration_pct  average_concentration 
# ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.000000000000e+00   2.326031515485e+02   2.326031515485e+02    0.000000000000e+00     0.000000000000e+00        0.000000000000e+00      1.223000000000e+03    7.333374890469e-20       8.281211508404e-29        4.826800822639e-22       3.000000000000e+00       6.479834063150e+01  
    1.000000000000e+00   2.325498707275e+02   2.325498707275e+02    0.000000000000e+00     0.000000000000e+00        8.421092408883e+04      1.223003739830e+03    4.270288145326e-06       3.659462024591e-07        1.827322283244e-04       2.999322333497e+00       6.478349771659e+01  
    2.000000000000e+00   2.324965899066e+02   2.324965899066e+02    0.000000000000e+00     0.000000000000e+00        1.684218499338e+05      1.223007479660e+03    1.592929113655e-05       1.384569179842e-06        6.922095403017e-04       2.998644659631e+00       6.476865480171e+01  
    3.000000000000e+00   2.324433090858e+02   2.324433090858e+02    0.000000000000e+00     0.000000000000e+00        2.526327736796e+05      1.223011219489e+03    3.375767937852e-05       2.982211297283e-06        1.490172150030e-03       2.997966978749e+00       6.475381188684e+01  
    4.000000000000e+00   2.323900282650e+02   2.323900282650e+02    0.000000000000e+00     0.000000000000e+00        3.368436978349e+05      1.223014959319e+03    5.695978532816e-05       5.108410741383e-06        2.550020162997e-03       2.997289291085e+00       6.473896897197e+01  
    5.000000000000e+00   2.323367474441e+02   2.323367474441e+02    0.000000000000e+00     0.000000000000e+00        4.210546227276e+05      1.223018699149e+03    8.498477669392e-05       7.723476022327e-06        3.851218514074e-03       2.996611596827e+00       6.472412605709e+01  
    6.000000000000e+00   2.322834666232e+02   2.322834666232e+02    0.000000000000e+00     0.000000000000e+00        5.052655469802e+05      1.223022438978e+03    1.174331299434e-04       1.079485175070e-05        5.377194223024e-03       2.995933896125e+00       6.470928314221e+01  
    7.000000000000e+00   2.322301858024e+02   2.322301858024e+02    0.000000000000e+00     0.000000000000e+00        5.894764714275e+05      1.223026178808e+03    1.540037961308e-04       1.429523716660e-05        7.114179295619e-03       2.995256189110e+00       6.469444022734e+01  
    8.000000000000e+00   2.321769049816e+02   2.321769049816e+02    0.000000000000e+00     0.000000000000e+00        6.736873951016e+05      1.223029918638e+03    1.944625054835e-04       1.820135450122e-05        9.050491310502e-03       2.994578475889e+00       6.467959731246e+01  
    9.000000000000e+00   2.321236241607e+02   2.321236241607e+02    0.000000000000e+00     0.000000000000e+00        7.578983211462e+05      1.223033658467e+03    2.386218290103e-04       2.249307375229e-05        1.117605312519e-02       2.993900756556e+00       6.466475439758e+01  
